year,month,day,hour,bucket,euclidean_distance
2023,7,17,9,4,4.58257569495584
2023,7,17,9,5,16.55294535724685
2023,7,17,9,6,4.123105625617661
2023,7,17,9,7,27.16615541441225
2023,7,17,9,8,38.03945320322047
2023,7,17,9,9,14.422205101855956
2023,7,17,9,10,5.196152422706632
2023,7,17,9,11,2.449489742783178
2023,7,17,9,12,248.16728229160265
2023,7,17,10,1,248.16728229160265
2023,7,17,10,2,248.16728229160265
2023,7,17,10,3,248.16728229160265
2023,7,17,10,4,248.16728229160265
2023,7,17,10,5,248.16728229160265
2023,7,17,10,6,248.16728229160265
2023,7,17,10,7,248.16728229160265
2023,7,17,10,8,248.16728229160265
2023,7,17,10,9,248.16728229160265
2023,7,17,10,10,248.16728229160265
2023,7,17,10,11,248.16728229160265
2023,7,17,10,12,248.16728229160265
2023,7,17,11,1,17.0
2023,7,17,11,2,18.2208671582886
2023,7,17,11,3,38.66522985836241
2023,7,17,11,4,5.477225575051661
2023,7,17,11,5,20.09975124224178
2023,7,17,11,6,10.04987562112089
2023,7,17,11,7,54.055527006958314
2023,7,17,11,8,25.337718918639855
2023,7,17,11,9,1.7320508075688772
2023,7,17,11,10,4.795831523312719
2023,7,17,11,11,4.898979485566356
2023,7,17,11,12,14.352700094407323
2023,7,17,12,1,248.16728229160265
2023,7,17,12,2,248.16728229160265
2023,7,17,12,3,248.16728229160265
2023,7,17,12,4,248.16728229160265
2023,7,17,12,5,248.16728229160265
2023,7,17,12,6,248.16728229160265
2023,7,17,12,7,248.16728229160265
2023,7,17,12,8,248.16728229160265
2023,7,17,12,9,248.16728229160265
2023,7,17,12,10,248.16728229160265
2023,7,17,12,11,248.16728229160265
2023,7,17,12,12,248.16728229160265
2023,7,17,13,1,248.16728229160265
2023,7,17,13,2,248.16728229160265
2023,7,17,13,3,248.16728229160265
2023,7,17,13,4,248.16728229160265
2023,7,17,13,5,248.16728229160265
2023,7,17,13,6,248.16728229160265
2023,7,17,13,7,248.16728229160265
2023,7,17,13,8,248.16728229160265
2023,7,17,13,9,248.16728229160265
2023,7,17,13,10,248.16728229160265
2023,7,17,13,11,248.16728229160265
2023,7,17,13,12,248.16728229160265
2023,7,17,14,1,248.16728229160265
2023,7,17,14,2,248.16728229160265
2023,7,17,14,3,248.16728229160265
2023,7,17,14,4,248.16728229160265
2023,7,17,14,5,248.16728229160265
2023,7,17,14,6,248.16728229160265
2023,7,17,14,7,248.16728229160265
2023,7,17,14,8,248.16728229160265
2023,7,17,14,9,248.16728229160265
2023,7,17,14,10,248.16728229160265
2023,7,17,14,11,248.16728229160265
2023,7,17,14,12,248.16728229160265
2023,7,17,15,1,44.598206241955516
2023,7,17,15,2,46.010868281309364
2023,7,17,15,3,51.60426338976267
2023,7,17,15,4,61.73329733620261
2023,7,17,15,5,37.282703764614496
2023,7,17,15,6,64.4670458451448
2023,7,17,15,7,39.433488306260706
2023,7,17,15,8,58.0430874437258
2023,7,17,15,9,65.46754921333164
2023,7,17,15,10,68.044103344816
2023,7,17,15,11,49.82971001320397
2023,7,17,15,12,57.88782255362521
2023,7,17,16,1,34.23448553724738
2023,7,17,16,2,40.44749683231337
2023,7,17,16,3,101.39033484509261
2023,7,17,16,4,89.7217922246318
2023,7,17,16,5,96.12491872558333
2023,7,17,16,6,87.04022058795577
2023,7,17,16,7,82.68010643437755
2023,7,17,16,8,60.77005841695399
2023,7,17,16,9,66.783231428256
2023,7,17,16,10,67.19374970932937
2023,7,17,16,11,41.90465367951393
2023,7,17,16,12,90.15542135667715
2023,7,17,17,1,49.29503017546495
2023,7,17,17,2,34.14674215792775
2023,7,17,17,3,76.70723564306043
2023,7,17,17,4,77.45966692414834
2023,7,17,17,5,71.95137246779939
2023,7,17,17,6,99.57911427603682
2023,7,17,17,7,63.46652661048972
2023,7,17,17,8,38.24918299781056
2023,7,17,17,9,50.714889332423866
2023,7,17,17,10,53.693575034635195
2023,7,17,17,11,49.28488612140643
2023,7,17,17,12,92.50945897582582
2023,7,17,18,1,39.48417404479927
2023,7,17,18,2,38.97435053981015
2023,7,17,18,3,37.986839826445156
2023,7,17,18,4,27.694764848252458
2023,7,17,18,5,37.389838191679836
2023,7,17,18,6,48.96937818678118
2023,7,17,18,7,25.903667693977237
2023,7,17,18,8,55.036351623268054
2023,7,17,18,9,47.07440918375928
2023,7,17,18,10,39.949968710876355
2023,7,17,18,11,43.69210454990696
2023,7,17,18,12,33.645207682521445
2023,7,17,19,1,29.614185789921695
2023,7,17,19,2,35.58089374931439
2023,7,17,19,3,25.592967784139454
2023,7,17,19,4,32.18695387886216
2023,7,17,19,5,34.336569426778794
2023,7,17,19,6,53.43220002957018
2023,7,17,19,7,50.70502933634887
2023,7,17,19,8,43.42810150121693
2023,7,17,19,9,39.71145930332956
2023,7,17,19,10,43.78355855797927
2023,7,17,19,11,23.83275057562597
2023,7,17,19,12,47.46577714522327
2023,7,17,20,1,31.96873472629156
2023,7,17,20,2,16.46207763315433
2023,7,17,20,3,15.362291495737216
2023,7,17,20,4,30.805843601498726
2023,7,17,20,5,17.0
2023,7,17,20,6,12.449899597988733
2023,7,17,20,7,12.449899597988733
2023,7,17,20,8,13.038404810405298
2023,7,17,20,9,11.357816691600547
2023,7,17,20,10,14.035668847618199
2023,7,17,20,11,32.341923257592455
2023,7,17,20,12,9.899494936611665
2023,7,17,21,1,17.175564037317667
2023,7,17,21,2,18.0
2023,7,17,21,3,21.330729007701542
2023,7,17,21,4,20.904544960366874
2023,7,17,21,5,10.908712114635714
2023,7,17,21,6,17.97220075561143
2023,7,17,21,7,18.05547008526779
2023,7,17,21,8,28.053520278211074
2023,7,17,21,9,28.39013913315678
2023,7,17,21,10,6.855654600401044
2023,7,17,21,11,10.14889156509222
2023,7,17,21,12,9.9498743710662
