year,month,day,hour,bucket,maximum
2023,7,17,21,1,14.0
2023,7,17,21,2,24.0
2023,7,17,21,3,16.0
2023,7,17,21,4,12.0
2023,7,17,21,5,16.0
2023,7,17,21,6,15.0
2023,7,17,21,7,21.0
2023,7,17,21,8,23.0
2023,7,17,21,9,19.0
2023,7,17,21,10,15.0
2023,7,17,21,11,10.0
2023,7,17,21,12,14.0
