year,month,day,hour,minute,second,count
2023,7,16,22,35,26,1
2023,7,16,22,35,41,6
2023,7,16,22,35,43,3
2023,7,16,22,35,59,1
2023,7,16,22,36,0,2
2023,7,16,22,36,27,1
2023,7,16,22,36,41,4
2023,7,16,22,36,42,1
2023,7,16,22,36,43,1
2023,7,16,22,36,44,1
2023,7,16,22,36,49,1
2023,7,16,22,37,5,1
2023,7,16,22,37,26,1
2023,7,16,22,37,40,1
2023,7,16,22,37,41,4
2023,7,16,22,37,42,1
2023,7,16,22,37,43,1
2023,7,16,22,37,49,1
2023,7,16,22,37,57,1
2023,7,16,22,38,26,1
2023,7,16,22,38,33,1
2023,7,16,22,38,41,4
2023,7,16,22,38,42,1
2023,7,16,22,38,43,1
2023,7,16,22,39,41,1
2023,7,16,22,39,43,1
2023,7,16,22,40,20,1
2023,7,16,22,40,26,1
2023,7,16,22,40,37,1
2023,7,16,22,40,41,1
2023,7,16,22,40,42,1
2023,7,16,22,40,43,1
2023,7,16,22,40,46,1
2023,7,16,22,40,57,1
2023,7,16,22,41,0,1
2023,7,16,22,41,19,1
2023,7,16,22,41,27,1
2023,7,16,22,41,41,4
2023,7,16,22,41,42,1
2023,7,16,22,41,43,2
2023,7,16,22,42,1,1
2023,7,16,22,42,26,1
2023,7,16,22,42,41,2
2023,7,16,22,42,43,1
2023,7,16,22,42,47,2
2023,7,16,22,42,59,2
2023,7,16,22,43,1,1
2023,7,16,22,43,10,1
2023,7,16,22,43,17,1
2023,7,16,22,43,27,1
2023,7,16,22,43,41,6
2023,7,16,22,43,42,1
2023,7,16,22,43,43,2
2023,7,16,22,43,45,1
2023,7,16,22,43,49,1
2023,7,16,22,43,53,1
2023,7,16,22,44,8,1
2023,7,16,22,44,26,1
2023,7,16,22,44,27,1
2023,7,16,22,44,41,5
2023,7,16,22,44,42,1
2023,7,16,22,44,43,1
2023,7,16,22,44,44,1
2023,7,16,22,44,45,1
2023,7,16,22,44,48,1
2023,7,16,22,44,59,2
2023,7,16,22,45,26,1
2023,7,16,22,45,33,1
2023,7,16,22,45,41,7
2023,7,16,22,45,42,1
2023,7,16,22,45,43,1
2023,7,16,22,45,57,1
2023,7,16,22,46,26,1
2023,7,16,22,46,28,1
2023,7,16,22,46,41,3
2023,7,16,22,46,43,1
2023,7,16,22,47,12,1
2023,7,16,22,47,28,1
2023,7,16,22,47,41,2
2023,7,16,22,47,42,1
2023,7,16,22,47,43,1
2023,7,16,22,48,27,1
2023,7,16,22,48,41,1
2023,7,16,22,48,42,1
2023,7,16,22,48,43,1
2023,7,16,22,48,53,1
2023,7,16,22,49,4,1
2023,7,16,22,49,21,1
2023,7,16,22,49,23,1
2023,7,16,22,49,26,2
2023,7,16,22,49,35,1
2023,7,16,22,49,42,4
2023,7,16,22,49,43,2
2023,7,16,22,49,46,1
2023,7,16,22,49,56,1
2023,7,16,22,50,11,1
2023,7,16,22,50,27,1
2023,7,16,22,50,30,1
2023,7,16,22,50,37,1
2023,7,16,22,50,40,1
2023,7,16,22,50,42,4
2023,7,16,22,50,43,1
2023,7,16,22,51,0,1
2023,7,16,22,51,5,1
2023,7,16,22,51,17,1
2023,7,16,22,51,28,2
2023,7,16,22,51,35,1
2023,7,16,22,51,42,4
2023,7,16,22,51,43,3
2023,7,16,22,51,46,1
2023,7,16,22,52,42,3
2023,7,16,22,52,52,1
2023,7,16,22,53,6,1
2023,7,16,22,53,21,1
2023,7,16,22,53,26,1
2023,7,16,22,53,42,3
2023,7,16,22,53,43,2
2023,7,16,22,53,57,1
2023,7,16,22,53,58,1
2023,7,16,22,54,27,2
2023,7,16,22,54,42,3
2023,7,16,22,54,43,1
2023,7,16,22,54,45,1
2023,7,16,22,55,26,1
2023,7,16,22,55,42,2
2023,7,16,22,55,43,2
2023,7,16,22,55,49,1
2023,7,16,22,55,59,1
2023,7,16,22,56,26,1
2023,7,16,22,56,37,1
2023,7,16,22,56,42,4
2023,7,16,22,56,43,1
2023,7,16,22,56,55,1
2023,7,16,22,57,7,1
2023,7,16,22,57,8,1
2023,7,16,22,57,27,1
2023,7,16,22,57,42,6
2023,7,16,22,57,43,2
2023,7,16,22,57,47,1
2023,7,16,22,57,50,1
2023,7,16,22,57,51,1
2023,7,16,22,58,3,1
2023,7,16,22,58,24,1
2023,7,16,22,58,26,1
2023,7,16,22,58,34,1
2023,7,16,22,58,35,1
2023,7,16,22,58,42,6
2023,7,16,22,58,43,1
2023,7,16,22,58,56,3
2023,7,16,22,59,9,1
2023,7,16,22,59,17,1
2023,7,16,22,59,21,1
2023,7,16,22,59,28,1
2023,7,16,22,59,30,1
2023,7,16,22,59,42,7
2023,7,16,22,59,43,2
2023,7,16,22,59,45,1
2023,7,16,23,0,5,1
2023,7,16,23,0,11,1
2023,7,16,23,0,21,1
2023,7,16,23,0,27,1
2023,7,16,23,0,42,4
2023,7,16,23,0,43,1
2023,7,16,23,0,50,1
2023,7,16,23,1,10,1
2023,7,16,23,1,26,1
2023,7,16,23,1,42,1
2023,7,16,23,1,43,2
2023,7,16,23,1,46,1
2023,7,16,23,2,2,1
2023,7,16,23,2,20,1
2023,7,16,23,2,27,1
2023,7,16,23,2,42,4
2023,7,16,23,2,43,1
2023,7,16,23,2,44,1
2023,7,16,23,2,55,1
2023,7,16,23,3,1,1
2023,7,16,23,3,11,2
2023,7,16,23,3,21,1
2023,7,16,23,3,27,1
2023,7,16,23,3,28,1
2023,7,16,23,3,42,3
2023,7,16,23,3,43,3
2023,7,16,23,4,0,1
2023,7,16,23,4,11,1
2023,7,16,23,4,26,1
2023,7,16,23,4,42,2
2023,7,16,23,4,43,3
2023,7,16,23,5,11,1
2023,7,16,23,5,12,1
2023,7,16,23,5,41,1
2023,7,16,23,5,43,3
2023,7,16,23,5,44,1
2023,7,16,23,6,26,1
2023,7,16,23,6,43,3
2023,7,16,23,7,22,1
2023,7,16,23,7,27,1
2023,7,16,23,7,42,1
2023,7,16,23,7,43,2
2023,7,16,23,8,0,1
2023,7,16,23,8,1,1
2023,7,16,23,8,6,1
2023,7,16,23,8,27,1
2023,7,16,23,8,35,1
2023,7,16,23,8,43,5
2023,7,16,23,9,0,1
2023,7,16,23,9,5,1
2023,7,16,23,9,8,2
2023,7,16,23,9,26,1
2023,7,16,23,9,42,1
2023,7,16,23,9,43,4
2023,7,16,23,9,44,1
2023,7,16,23,10,2,1
2023,7,16,23,10,17,1
2023,7,16,23,10,27,1
2023,7,16,23,10,35,1
2023,7,16,23,10,43,2
2023,7,16,23,10,44,1
2023,7,16,23,10,46,1
2023,7,16,23,10,51,1
2023,7,16,23,10,55,1
2023,7,16,23,11,1,1
2023,7,16,23,11,26,1
2023,7,16,23,11,43,6
2023,7,16,23,11,44,1
2023,7,16,23,11,58,1
2023,7,16,23,12,5,1
2023,7,16,23,12,24,1
2023,7,16,23,12,26,1
2023,7,16,23,12,40,1
2023,7,16,23,12,42,2
2023,7,16,23,12,43,3
2023,7,16,23,12,44,1
2023,7,16,23,12,51,1
2023,7,16,23,12,53,1
2023,7,16,23,13,4,1
2023,7,16,23,13,11,1
2023,7,16,23,13,16,1
2023,7,16,23,13,20,1
2023,7,16,23,13,26,1
2023,7,16,23,13,27,1
2023,7,16,23,13,41,1
2023,7,16,23,13,43,9
2023,7,16,23,13,44,2
2023,7,16,23,13,45,1
2023,7,16,23,14,9,1
2023,7,16,23,14,17,1
2023,7,16,23,14,26,1
2023,7,16,23,14,27,1
2023,7,16,23,14,38,1
2023,7,16,23,14,43,5
2023,7,16,23,14,44,1
2023,7,16,23,14,50,3
2023,7,16,23,15,21,1
2023,7,16,23,15,22,1
2023,7,16,23,15,26,1
2023,7,16,23,15,43,7
2023,7,16,23,15,44,1
2023,7,16,23,15,45,1
2023,7,16,23,16,6,1
2023,7,16,23,16,21,1
